,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
17064,1510.0,es_7702,2019,CIV-PLS13 ,1F-1,N,4,24,8,36,True,True,0,0,1.0,0.0,1.0,False
17065,1511.0,es_9811,2019,CIV-PLS13 ,1F-4,S,11,18,10,39,True,True,0,0,4.0,0.0,4.0,True
17066,1512.0,es_9812,2019,CIV-PLS13 ,1F-1,N,12,21,5,38,False,False,0,0,1.0,0.0,1.0,False
17067,1513.0,es_7040,2019,CIV-PLS13 ,1F-1,N,18,17,10,45,True,True,0,0,1.0,0.0,1.0,False
17068,1514.0,es_9813,2019,MCT-PLS13 ,,N,9,6,10,25,True,False,10,0,0.0,0.0,0.0,False
17069,1515.0,es_9814,2019,CIV-PLS13 ,1F-5,S,19,27,8,54,True,True,0,0,5.0,0.0,5.0,True
17070,1516.0,es_9711,2019,CIV-PLS13 ,1F-2,S,15,25,7,47,True,True,0,0,2.0,0.0,2.0,True
17071,1517.0,es_7049,2019,CIV-PLS13 ,1F-1,N,18,14,8,40,True,True,0,0,1.0,0.0,1.0,False
17073,1519.0,es_7170,2019,IND-PLS13 ,1F-1,N,9,19,8,36,True,True,0,0,1.0,0.0,1.0,False
17074,1520.0,es_7054,2019,ELE-PLS13 ,1F-1,N,12,22,8,42,True,True,0,0,1.0,0.0,1.0,False
17075,1521.0,es_7055,2019,CIV-PLS13 ,,N,9,0,2,11,False,False,0,0,0.0,0.0,0.0,False
17077,1523.0,es_7246,2019,CIV-PLS13 ,,N,11,15,10,36,True,True,28,0,0.0,0.0,0.0,False
17078,1524.0,es_9689,2019,CIV-PLS13 ,,N,9,20,7,36,True,True,0,0,0.0,0.0,0.0,False
17079,1525.0,es_7064,2019,MCT-PLS13 ,,N,10,14,3,27,False,False,32,0,0.0,0.0,0.0,False
17080,1526.0,es_7066,2019,CIV-PLS13 ,1F-2,S,11,28,8,47,True,True,0,0,2.0,0.0,2.0,True
17081,1527.0,es_7070,2019,CIV-PLS13 ,,N,8,21,7,36,True,True,0,0,0.0,0.0,0.0,False
17082,1528.0,es_9728,2019,ELE-PLS13 ,,N,13,25,7,45,True,True,0,0,0.0,0.0,0.0,False
17083,1529.0,es_7071,2019,ELE-PLS13 ,1F-1,N,19,17,6,42,True,True,0,0,1.0,0.0,1.0,False
17084,1530.0,es_9815,2019,ELE-PLS13 ,1F-3,S,18,17,10,45,True,True,0,0,3.0,0.0,3.0,True
17085,1531.0,es_9712,2019,CIV-PLS13 ,,N,0,10,4,14,False,False,0,0,0.0,0.0,0.0,False
17087,1533.0,es_7074,2019,CGF-PLS13 ,1F-3,S,16,34,5,55,False,False,0,0,3.0,0.0,3.0,True
17088,1534.0,es_7075,2019,CIV-PLS13 ,,N,11,0,4,15,False,False,0,0,0.0,0.0,0.0,False
17089,1535.0,es_9732,2019,CIV-PLS13 ,1F-1,N,16,12,9,37,True,True,0,0,1.0,0.0,1.0,False
17090,1536.0,es_9816,2019,CIV-PLS13 ,1F-5,S,13,31,10,54,True,True,0,0,5.0,0.0,5.0,True
17092,1538.0,es_9817,2019,ELE-PLS13 ,1F-4,S,22,21,10,53,True,True,0,0,4.0,0.0,4.0,True
17093,1539.0,es_7084,2019,CIV-PLS13 ,1F-1,N,24,15,9,48,True,True,0,0,1.0,0.0,1.0,False
17094,1540.0,es_9818,2019,CIV-PLS13 ,1F-4,S,19,26,8,53,True,True,0,0,4.0,0.0,4.0,True
17095,1541.0,es_7248,2019,CIV-PLS13 ,,N,0,16,7,23,True,False,12,0,0.0,0.0,0.0,False
17096,1542.0,es_7087,2019,IND-PLS13 ,1F-1,N,18,20,8,46,True,True,0,0,1.0,0.0,1.0,False
17098,1544.0,es_7094,2019,CIV-PLS13 ,,N,10,15,3,28,False,False,26,0,0.0,0.0,0.0,False
17099,1545.0,es_9819,2019,ELE-PLS13 ,1F-4,S,21,23,10,54,True,True,0,0,4.0,0.0,4.0,True
17100,1546.0,es_7097,2019,CIV-PLS13 ,,N,0,7,4,11,False,False,0,0,0.0,0.0,0.0,False
17102,1548.0,es_7250,2019,CIV-PLS13 ,,N,7,12,3,22,False,False,8,0,0.0,0.0,0.0,False
17103,1549.0,es_9820,2019,CIV-PLS13 ,1F-5,S,24,28,10,62,True,True,0,0,5.0,0.0,5.0,True
17104,1550.0,es_7251,2019,CIV-PLS13 ,,N,16,15,9,40,True,True,26,0,0.0,0.0,0.0,False
